End Station Key,Station Name (Dim Station1),Station Geometry (Dim Station1),Morning,Afternoon,Evening,Night
107,South Chicago Ave & 83rd St,POINT (-87.575225 41.743921),7,25,21,4
108,South Chicago Ave & Elliot Ave,POINT (-87.580046 41.747363),2,7,9,5
109,Commercial Ave & 83rd St,POINT (-87.551208 41.744615),38,90,73,16
110,State St & 54th St,POINT (-87.625923 41.796642),52,46,46,22
111,Union Ave & Root St,POINT (-87.64327800000001 41.819102),111,139,148,71
112,Racine Ave & Garfield Blvd,POINT (-87.655073 41.794228),43,69,113,21
113,Western Blvd & 48th Pl,POINT (-87.683392 41.805661),111,65,82,24
114,Elizabeth St & 47th St,POINT (-87.656526 41.80839),19,16,18,20
115,Archer (Damen) Ave & 37th St,POINT (-87.683144 41.826712),92,203,226,41
116,Damen Ave & 51st St,POINT (-87.674684 41.800908),8,16,37,14
117,Throop St & 52nd St,POINT (-87.657195 41.79965900000001),13,35,26,3
118,Princeton Ave & Garfield Blvd,POINT (-87.633124 41.794982),15,57,55,28
119,Halsted St & 37th St,POINT (-87.64572 41.82705900000001),53,140,268,48
120,Wentworth Ave & 35th St,POINT (-87.632504 41.830777),80,139,100,60
121,Marshfield Ave & 44th St,POINT (-87.666589 41.813996),38,43,47,13
122,Halsted St & 35th St,POINT (-87.647172 41.830661),163,378,386,75
123,Damen Ave & Pershing Rd,POINT (-87.676597 41.823192),123,161,202,20
124,Seeley Ave & Garfield Blvd,POINT (-87.675478 41.794087),8,37,21,21
125,Morgan St & Pershing Rd,POINT (-87.650931 41.823613),35,62,16,4
126,Hoyne Ave & 47th St,POINT (-87.67718000000001 41.808227),55,89,40,33
127,Wallace St & 35th St,POINT (-87.64129 41.83062899999999),172,336,461,94
128,Ashland Ave & McDowell Ave,POINT (-87.66454 41.80887),18,74,58,12
129,Ashland Ave & 50th St,POINT (-87.664699 41.803023),12,29,34,32
130,Ashland Ave & Pershing Rd,POINT (-87.665577 41.823465),32,88,59,19
131,Wood St & 35th St,POINT (-87.670298309 41.830104654),64,220,234,68
132,Halsted St & 51st St,POINT (-87.645213904 41.80183164),9,28,41,15
133,State St & Pershing Rd,POINT (-87.62656801799999 41.823015238),55,114,113,16
134,Shields Ave & 43rd St,POINT (-87.63481935 41.816207679),4,10,10,4
135,Halsted St & 47th Pl,POINT (-87.645616554 41.808133915),75,144,151,49
136,Princeton Ave & 47th St,POINT (-87.63344928799999 41.809317709),54,85,74,25
137,Leavitt St & Archer Ave,POINT (-87.68060445899999 41.82879202),76,155,203,102
138,Eberhart Ave & 91st St,POINT (-87.611829489 41.729267142),10,41,29,3
139,Michigan Ave & 71st St,POINT (-87.621748 41.765286),11,27,27,27
140,State St & 95th St,POINT (-87.62285440000001 41.7218499),9,24,7,11
141,Dauphin Ave & 87th St,POINT (-87.60125756299999 41.73655902300001),8,4,3,6
142,Greenwood Ave & 91st St,POINT (-87.59729862200001 41.728264268),4,8,11,1
143,Stony Island Ave & 90th St,POINT (-87.585743666 41.73139494300001),1,9,7,6
144,Wabash Ave & 83rd St,POINT (-87.622849 41.743316),26,43,36,5
145,Ellis Ave & 83rd St,POINT (-87.599034 41.74412299999999),29,32,41,9
146,Wabash Ave & 87th St,POINT (-87.62263399999999 41.736646),61,67,62,10
147,Vernon Ave & 79th St,POINT (-87.61379000000001 41.75094),33,25,22,8
148,MLK Jr Dr & 83rd St,POINT (-87.6148 41.743116),47,19,17,6
149,Cottage Grove Ave & 78th St,POINT (-87.605026 41.753174),104,49,25,21
150,Greenwood Ave & 79th St,POINT (-87.59755200000001 41.751294),25,51,48,62
151,Vernon Ave & 75th St,POINT (-87.614138 41.758361),29,39,50,19
152,Stony Island Ave & 82nd St,POINT (-87.586005 41.746559),34,38,62,15
153,Evans Ave & 75th St,POINT (-87.60641 41.75849),21,40,19,18
154,Cottage Grove Ave & 83rd St,POINT (-87.60483599999999 41.743441),56,64,46,42
155,Cottage Grove Ave & 71st St,POINT (-87.60495971299999 41.765719037),10,23,13,11
156,Woodlawn Ave & 75th St,POINT (-87.59575100000001 41.75915999999999),16,10,18,4
157,State St & 79th St,POINT (-87.624424 41.750794),50,39,35,48
158,State St & 76th St,POINT (-87.62462099999999 41.756971),5,13,10,8
159,Stony Island Ave & 75th St,POINT (-87.586882871 41.75866967),48,95,111,29
160,Calumet Ave & 71st St,POINT (-87.616917925 41.765508006),39,34,36,29
161,Ellis Ave & 53rd St,POINT (-87.600958115 41.799336263),367,983,1162,198
162,Lake Park Ave & 53rd St,POINT (-87.586449896 41.799494294),556,1435,1459,253
163,Kimbark Ave & 53rd St,POINT (-87.594747 41.799568),901,2068,2304,295
164,Prairie Ave & Garfield Blvd,POINT (-87.618691 41.794853),87,160,113,36
