Start Station Key,Station Name,Station Geometry,Morning,Afternoon,Evening,Night
311,California Ave & Fletcher St,POINT (-87.69800775600001 41.938428791),387,706,576,166
312,Central Park Ave & Elbridge Ave,POINT (-87.716889294 41.935337283),236,489,435,57
313,Wood St & Chicago Ave,POINT (-87.67206899999999 41.895634),709,760,783,215
314,Leavitt St & Division St,POINT (-87.683825 41.902997),394,573,435,117
315,Paulina Ave & North Ave,POINT (-87.67007199999999 41.910337),1405,1740,1827,436
316,Damen Ave & Division St,POINT (-87.67843499999999 41.903266),1070,1814,1849,518
317,Ashland Ave & Chicago Ave,POINT (-87.66774699999999 41.89596599999999),1437,1611,1426,363
318,Wood St & Milwaukee Ave,POINT (-87.672552 41.907655),1814,2964,3015,700
319,California Ave & Division St,POINT (-87.697474 41.903029),718,1251,1037,127
320,Wood St & Augusta Blvd,POINT (-87.6722 41.899181),1114,1204,1023,248
321,Damen Ave & Grand Ave,POINT (-87.67684221299999 41.891264346),655,938,797,111
322,Damen Ave & Cortland St,POINT (-87.677335 41.915983),1288,2431,2282,463
323,Western Ave & Division St,POINT (-87.687275 41.902893),748,1083,983,245
324,Claremont Ave & Hirsch St,POINT (-87.68585400000001 41.907781),347,494,392,69
325,Walsh Park,POINT (-87.667968 41.91461),633,1169,1028,149
326,Marshfield Ave & Cortland St,POINT (-87.668879 41.916017),986,1730,1658,225
327,Damen Ave & Thomas St (Augusta Blvd),POINT (-87.677409 41.901315),1700,1504,1376,339
328,Wood St & Hubbard St,POINT (-87.67147299999999 41.889899),455,596,790,113
329,Ashland Ave & Augusta Blvd,POINT (-87.6677 41.899643),1195,1220,1200,263
330,Honore St & Division St,POINT (-87.673935 41.903119),1325,2276,2402,724
331,California Ave & Cortez St,POINT (-87.696704 41.900363),725,1161,891,157
332,Ashland Ave & Division St,POINT (-87.66774699999999 41.90345),2972,4281,4036,916
